preco_venda,area_util,quartos,suites,vagas,valor_condominio,valor_iptu,bairro_quadra,tipo_imovel,qtd_comodidades
1680000.0,543.79,4.0,1,3,650.0,5040.0,4,1,17
2500000.0,500.0,4.0,4,3,900.0,3630.0,4,1,7
1500000.0,300.0,4.0,3,2,1150.0,1000.0,4,1,0
1480000.0,247.0,4.0,2,2,694.0,1250.0,4,1,4
1500000.0,300.0,4.0,3,2,1000.0,4500.0,4,1,2
1380000.0,286.0,4.0,3,3,300.0,1400.0,4,1,0
1390000.0,233.0,4.0,3,2,780.0,1572.0,4,1,12
3100000.0,629.0,4.0,4,3,855.0,586.0,4,1,16
3800000.0,600.0,5.0,5,4,1000.0,11400.0,4,1,0
3800000.0,650.0,5.0,5,4,1000.0,11400.0,4,1,23
1390000.0,550.0,6.0,6,2,672.0,4170.0,4,1,0
2350000.0,491.0,6.0,5,2,672.0,7050.0,4,1,0
1480000.0,380.0,5.0,4,2,672.0,4440.0,4,1,0
870000.0,160.0,4.0,2,2,672.0,2610.0,4,1,0
1290000.0,300.0,5.0,2,2,672.0,3870.0,4,1,0
1800000.0,395.0,5.0,5,4,771.0,2414.0,4,1,0
1899999.0,350.0,4.0,4,4,771.0,5699.997,4,1,0
1680000.0,328.6,4.0,3,3,671.0,1972.0,4,1,17
1280000.0,340.0,6.0,2,4,650.0,3840.0,4,1,0
1500000.0,525.0,4.0,2,2,525.0,4500.0,4,1,0
1550000.0,550.0,4.0,2,3,771.0,2082.0,4,1,3
3190000.0,629.0,5.0,4,3,855.0,3092.0,4,1,7
2800000.0,750.0,4.0,3,4,950.0,8400.0,4,1,10
3250000.0,450.0,4.0,4,4,900.0,3000.0,4,1,27
1280000.0,423.0,4.0,2,2,772.0,3840.0,4,1,0
1550000.0,447.94,4.0,2,2,720.0,428.0,4,1,10
2495000.0,342.0,4.0,4,2,730.0,7485.0,4,1,0
1550000.0,420.0,4.0,4,0,635.0,4650.0,4,1,7
2000000.0,550.0,6.0,3,4,620.0,365.0,4,1,3
1595000.0,420.0,4.0,4,6,450.0,4785.0,4,1,3
1550000.0,349.0,4.0,4,5,756.0,2100.0,4,1,3
1280000.0,280.0,4.0,3,4,600.0,4668.0,4,1,1
1200000.0,238.0,4.0,2,4,680.0,1056.0,4,1,3
1650000.0,400.0,4.0,4,2,650.0,1614.0,4,1,2
1900000.0,254.0,4.0,3,2,1290.0,5700.0,4,1,3
1990000.0,259.0,4.0,4,2,717.0,2388.0,4,1,1
1980000.0,307.0,4.0,4,2,730.0,5940.0,4,1,13
745000.0,350.0,5.0,3,4,560.0,1200.0,4,1,0
2400000.0,550.0,4.0,4,4,380.0,620.0,4,1,21
2300000.0,350.0,5.0,3,4,530.0,6900.0,4,1,1
2100000.0,570.0,5.0,4,4,575.0,3250.0,4,1,19
1099000.0,300.0,6.0,4,6,565.0,1848.0,4,1,1
2490000.0,384.0,4.0,4,4,574.0,7470.0,4,1,0
1900000.0,247.0,4.0,4,4,558.0,1290.0,4,1,11
750000.0,250.0,4.0,0,4,450.0,150.0,4,1,0
750000.0,200.0,4.0,1,2,300.0,984.0,4,1,0
1149000.0,287.0,4.0,4,2,180.0,3447.0,4,1,20
1500000.0,270.0,4.0,3,2,480.0,1900.0,4,1,12
1000000.0,200.0,4.0,1,4,400.0,2000.0,4,1,0
1289000.0,300.0,4.0,3,2,480.0,3867.0,4,1,6
2200000.0,450.0,4.0,4,2,300.0,6600.0,4,1,3
1980000.0,404.27,4.0,2,6,671.0,5940.0,4,1,20
2100000.0,470.0,5.0,5,2,515.0,6300.0,4,1,15
2400000.0,450.0,4.0,3,4,600.0,1500.0,4,1,10
1970000.0,300.0,4.0,4,4,600.0,2500.0,4,1,0
2590000.0,400.0,4.0,4,2,550.0,7770.0,4,1,2
1850000.0,400.0,4.0,2,2,550.0,2400.0,4,1,7
2590000.0,400.0,4.0,4,2,550.0,7770.0,4,1,20
1650000.0,380.0,5.0,4,4,600.0,2500.0,4,1,0
2590000.0,400.0,4.0,4,4,513.0,1870.0,4,1,2
3100000.0,400.0,4.0,4,4,600.0,4357.0,4,1,11
2200000.0,450.0,5.0,4,4,1100.0,2000.0,4,1,3
2590000.0,430.0,4.0,4,4,600.0,4200.0,4,1,0
2600000.0,263.0,4.0,2,2,600.0,7800.0,4,1,1
3890000.0,421.0,4.0,3,6,600.0,4200.0,4,1,1
2100000.0,470.0,5.0,4,4,550.0,1500.0,4,1,14
2590000.0,400.0,4.0,3,2,550.0,2000.0,4,1,0
3190000.0,450.0,4.0,4,3,490.0,1400.0,4,1,16
1960000.0,300.0,4.0,4,4,500.0,3000.0,4,1,17
1970000.0,300.0,4.0,4,4,495.0,2000.0,4,1,0
1970000.0,400.0,4.0,4,2,500.0,1100.0,4,1,14
1900000.0,280.0,4.0,4,2,495.0,2000.0,4,1,0
3190000.0,420.0,4.0,3,3,495.0,9570.0,4,1,22
1280000.0,240.0,4.0,2,4,750.0,1100.0,4,1,7
1469800.0,450.0,5.0,4,2,515.0,1500.0,4,1,8
2600000.0,300.0,4.0,3,2,550.0,2000.0,4,1,14
2590000.0,360.0,4.0,4,4,1800.0,4200.0,4,1,0
2750000.0,370.0,4.0,4,4,580.0,4200.0,4,1,0
1700000.0,580.0,4.0,4,4,650.0,5100.0,4,1,1
2590000.0,400.0,5.0,4,4,580.0,4200.0,4,1,1
1980000.0,500.0,4.0,4,4,514.0,1055.0,4,1,2
1920000.0,400.0,4.0,4,2,550.0,1500.0,4,1,13
1460000.0,300.0,4.0,3,3,550.0,2000.0,4,1,0
1650000.0,388.0,5.0,4,6,550.0,200.0,4,1,0
1350000.0,337.0,4.0,2,3,661.0,150.0,4,1,2
1550000.0,341.19,4.0,3,3,560.0,1500.0,4,1,14
1500000.0,377.08,4.0,1,4,671.0,4500.0,4,1,11
1360000.0,444.0,5.0,1,5,540.0,1834.0,4,1,2
1290000.0,350.0,4.0,3,4,1575.0,3870.0,4,1,19
1980000.0,395.0,5.0,3,8,671.0,5940.0,4,1,2
2800000.0,574.0,6.0,4,5,671.0,8400.0,4,1,8
1680000.0,328.0,4.0,3,1,671.0,5040.0,4,1,6
1980000.0,404.0,5.0,3,4,671.0,5940.0,4,1,8
1680000.0,328.0,4.0,3,3,671.0,5040.0,4,1,6
1980000.0,395.0,4.0,2,3,671.0,2800.0,4,1,1
1960000.0,450.0,4.0,4,2,671.0,5880.0,4,1,2
1680000.0,330.0,4.0,3,2,671.0,9480.0,4,1,1
2000000.0,730.0,5.0,3,4,750.0,1718.0,4,1,11
2200000.0,280.0,4.0,4,2,513.0,2000.0,4,1,3
1290000.0,360.0,4.0,3,2,400.0,3870.0,4,1,20
2890000.0,480.0,4.0,4,3,450.0,1400.0,4,1,0
1790000.0,335.0,4.0,4,4,200.0,5370.0,4,1,4
1590000.0,298.0,4.0,3,2,500.0,2358.0,4,1,3
2900000.0,534.0,4.0,3,5,400.0,8700.0,4,1,6
1400000.0,357.0,5.0,3,4,1737.0,410.0,4,1,16
1400000.0,357.0,5.0,3,4,1587.0,2500.0,4,1,21
1400000.0,357.0,5.0,3,4,1587.0,2500.0,4,1,9
1300000.0,360.0,5.0,1,5,462.0,1219.0,4,1,12
1000000.0,239.07,4.0,3,2,480.0,3000.0,4,1,0
990000.0,270.0,4.0,1,2,550.0,500.0,4,1,2
1220000.0,409.39,4.0,2,4,560.0,1151.0,4,1,7
1750000.0,270.0,4.0,4,2,500.0,1800.0,4,1,6
2300000.0,389.0,4.0,4,5,730.0,6900.0,4,1,5
1537000.0,400.0,4.0,1,4,480.0,4611.0,4,1,13
799000.0,210.0,4.0,1,2,528.0,2397.0,4,1,3
1400000.0,250.0,4.0,1,4,528.0,1720.0,4,1,4
1400000.0,350.0,4.0,2,2,529.0,4200.0,4,1,8
1300000.0,490.0,4.0,4,2,550.0,3900.0,4,1,18
1400000.0,250.0,4.0,1,2,528.0,1176.0,4,1,1
1900000.0,475.0,7.0,6,6,587.0,247.0,4,1,19
530000.0,200.0,5.0,0,2,632.0,1176.0,4,1,2
2890000.0,100.0,10.0,6,2,670.0,3612.0,4,1,5
1700000.0,400.0,5.0,5,3,670.0,2142.0,4,1,3
1700000.0,400.0,5.0,5,9,750.0,357.0,4,1,5
800000.0,222.0,4.0,0,4,496.0,896.0,4,1,11
1290000.0,600.0,4.0,1,3,538.0,3870.0,4,1,10
1400000.0,560.0,4.0,4,8,600.0,4200.0,4,1,1
1100000.0,300.0,5.0,4,4,390.0,3300.0,4,1,3
1300000.0,375.0,4.0,2,2,534.0,2430.0,4,1,4
1050000.0,317.0,4.0,4,2,528.0,1194.0,4,1,4
1598000.0,281.0,4.0,4,2,513.0,900.0,4,1,0
1480000.0,300.0,4.0,1,4,600.0,4440.0,4,1,16
1480000.0,300.0,4.0,1,4,630.0,4440.0,4,1,16
1680000.0,310.0,4.0,1,3,550.0,3053.0,4,1,13
1500000.0,580.0,4.0,4,2,550.0,4500.0,4,1,0
1550000.0,408.0,5.0,2,4,590.0,4650.0,4,1,3
1600000.0,400.0,4.0,2,5,1000.0,1500.0,4,1,11
1600000.0,400.0,4.0,2,4,1000.0,1500.0,4,1,12
990000.0,220.0,4.0,1,2,740.0,185.0,4,1,9
1390000.0,430.0,4.0,3,2,850.0,1800.0,4,1,7
1680000.0,310.0,4.0,1,3,550.0,5040.0,4,1,4
1230000.0,367.0,4.0,3,5,743.0,3690.0,4,1,2
850000.0,319.4,6.0,2,3,550.0,2216.0,4,1,0
2500000.0,540.0,5.0,5,4,355.0,7500.0,4,1,0
1250000.0,560.0,5.0,4,2,540.0,3750.0,4,1,8
1390000.0,560.0,5.0,4,2,540.0,4170.0,4,1,18
999000.0,200.0,4.0,4,2,640.0,952.0,4,1,0
1080000.0,300.0,4.0,4,2,380.0,3240.0,4,1,9
1250000.0,560.0,4.0,2,4,400.0,1500.0,4,1,7
1250000.0,620.0,4.0,2,4,600.0,2128.0,4,1,7
1900000.0,850.0,5.0,2,13,580.0,5700.0,4,1,2
1350000.0,230.0,4.0,2,2,534.0,432.0,4,1,1
950000.0,250.0,4.0,1,9,538.0,2850.0,4,1,2
900000.0,286.0,4.0,2,6,680.0,2700.0,4,1,0
1900000.0,505.0,4.0,4,2,920.0,5700.0,4,1,18
1900000.0,506.0,4.0,4,2,330.0,5700.0,4,1,4
1700000.0,550.0,6.0,3,3,678.0,5100.0,4,1,11
980000.0,341.0,5.0,1,5,180.0,2940.0,4,1,0
980000.0,341.0,5.0,1,5,180.0,2940.0,4,1,10
1700000.0,400.0,5.0,5,4,670.0,5100.0,4,1,0
1490000.0,400.0,5.0,5,0,670.0,4470.0,4,1,14
1390000.0,320.0,4.0,3,5,680.0,4170.0,4,1,2
2390000.0,515.0,4.0,4,2,650.0,1900.0,4,1,13
2490000.0,527.0,4.0,4,4,560.0,7470.0,4,1,28
1500000.0,490.0,5.0,3,5,670.0,3600.0,4,1,5
1390000.0,446.0,4.0,3,0,640.0,4170.0,4,1,0
2390000.0,527.0,4.0,4,4,560.0,7170.0,4,1,1
2390000.0,440.0,4.0,4,6,640.0,7170.0,4,1,4
2350000.0,514.0,5.0,5,4,950.0,1500.0,4,1,10
2190000.0,328.0,4.0,3,2,917.0,1100.0,4,1,7
1550000.0,470.0,4.0,1,2,846.0,2256.0,4,1,0
2300000.0,390.0,4.0,4,4,750.0,1283.0,4,1,12
590000.0,180.0,4.0,3,2,603.0,1770.0,4,1,0
